numinscription,codefiliere,codemodule,codeeltmodule,numsession,note
EtudLPGLAASRI019,LPGLAASRI,M07,M07A,1,7.17
EtudLPGLAASRI019,LPGLAASRI,M07,M07B,1,3.25
EtudLPGLAASRI019,LPGLAASRI,M08,M08A,1,5.89
EtudLPGLAASRI019,LPGLAASRI,M08,M08B,1,9.38
EtudLPGLAASRI019,LPGLAASRI,M09,M09A,1,4.02
EtudLPGLAASRI019,LPGLAASRI,M09,M09B,1,16.95
EtudLPGLAASRI019,LPGLAASRI,M10-11-12,M10A,1,12.87
EtudLPGLAASRI019,LPGLAASRI,M10-11-12,M10B,1,0.79
EtudLPGLAASRI019,LPGLAASRI,M10-11-12,M10C,1,19.15
EtudLPGLAASRI020,LPGLAASRI,M01,M01A,1,18.72
EtudLPGLAASRI020,LPGLAASRI,M01,M01B,1,16.1
EtudLPGLAASRI020,LPGLAASRI,M02,M02A,1,14.25
EtudLPGLAASRI020,LPGLAASRI,M02,M02B,1,9.87
EtudLPGLAASRI020,LPGLAASRI,M03,M03A,1,13.79
EtudLPGLAASRI020,LPGLAASRI,M03,M03B,1,13.52
EtudLPGLAASRI020,LPGLAASRI,M04,M04A,1,12.99
EtudLPGLAASRI020,LPGLAASRI,M04,M04B,1,3.8
EtudLPGLAASRI020,LPGLAASRI,M05,M05A,1,9.16
EtudLPGLAASRI020,LPGLAASRI,M05,M05B,1,8.63
EtudLPGLAASRI020,LPGLAASRI,M06,M06A,1,0.6
EtudLPGLAASRI020,LPGLAASRI,M06,M06B,1,14.47
EtudLPGLAASRI020,LPGLAASRI,M07,M07A,1,18.95
EtudLPGLAASRI020,LPGLAASRI,M07,M07B,1,5.52
EtudLPGLAASRI020,LPGLAASRI,M08,M08A,1,12.72
EtudLPGLAASRI020,LPGLAASRI,M08,M08B,1,4.12
EtudLPGLAASRI020,LPGLAASRI,M09,M09A,1,0.64
EtudLPGLAASRI020,LPGLAASRI,M09,M09B,1,4.92
EtudLPGLAASRI020,LPGLAASRI,M10-11-12,M10A,1,14.73
EtudLPGLAASRI020,LPGLAASRI,M10-11-12,M10B,1,13.89
EtudLPGLAASRI020,LPGLAASRI,M10-11-12,M10C,1,16.99
EtudGI1002,GI,M01,M01B,1,11.1
EtudLPGLAASRI021,LPGLAASRI,M01,M01A,1,11.38
EtudLPGLAASRI021,LPGLAASRI,M01,M01B,1,18.06
EtudLPGLAASRI021,LPGLAASRI,M02,M02A,1,19.7
EtudLPGLAASRI021,LPGLAASRI,M02,M02B,1,18.39
EtudLPGLAASRI021,LPGLAASRI,M03,M03A,1,5.4
EtudLPGLAASRI021,LPGLAASRI,M03,M03B,1,19.93
EtudLPGLAASRI021,LPGLAASRI,M04,M04A,1,5.18
EtudLPGLAASRI021,LPGLAASRI,M04,M04B,1,3.3
EtudLPGLAASRI021,LPGLAASRI,M05,M05A,1,10.52
EtudLPGLAASRI021,LPGLAASRI,M05,M05B,1,8.89
EtudLPGLAASRI021,LPGLAASRI,M06,M06A,1,12.74
EtudLPGLAASRI021,LPGLAASRI,M06,M06B,1,2.09
EtudLPGLAASRI021,LPGLAASRI,M07,M07A,1,3.97
EtudLPGLAASRI021,LPGLAASRI,M07,M07B,1,17.29
EtudLPGLAASRI021,LPGLAASRI,M08,M08A,1,8.31
EtudLPGLAASRI021,LPGLAASRI,M08,M08B,1,11.26
EtudLPGLAASRI021,LPGLAASRI,M09,M09A,1,19.85
EtudLPGLAASRI021,LPGLAASRI,M09,M09B,1,11.04
EtudLPGLAASRI021,LPGLAASRI,M10-11-12,M10A,1,10.2
EtudLPGLAASRI021,LPGLAASRI,M10-11-12,M10B,1,13.74
EtudLPGLAASRI021,LPGLAASRI,M10-11-12,M10C,1,6.21
EtudLPGLAASRI022,LPGLAASRI,M01,M01A,1,18.14
EtudLPGLAASRI022,LPGLAASRI,M01,M01B,1,18.25
EtudLPGLAASRI022,LPGLAASRI,M02,M02A,1,5.79
EtudLPGLAASRI022,LPGLAASRI,M02,M02B,1,7.88
EtudLPGLAASRI022,LPGLAASRI,M03,M03A,1,6.43
EtudLPGLAASRI022,LPGLAASRI,M03,M03B,1,5.5
EtudLPGLAASRI022,LPGLAASRI,M04,M04A,1,16.34
EtudLPGLAASRI022,LPGLAASRI,M04,M04B,1,4.27
EtudLPGLAASRI022,LPGLAASRI,M05,M05A,1,13.14
EtudLPGLAASRI022,LPGLAASRI,M05,M05B,1,13.83
EtudLPGLAASRI022,LPGLAASRI,M06,M06A,1,19.71
EtudLPGLAASRI022,LPGLAASRI,M06,M06B,1,9.98
EtudLPGLAASRI022,LPGLAASRI,M07,M07A,1,7.18
EtudLPGLAASRI022,LPGLAASRI,M07,M07B,1,10.7
EtudLPGLAASRI022,LPGLAASRI,M08,M08A,1,2.85
EtudLPGLAASRI022,LPGLAASRI,M08,M08B,1,12.76
EtudLPGLAASRI022,LPGLAASRI,M09,M09A,1,10.42
EtudLPGLAASRI022,LPGLAASRI,M09,M09B,1,11.78
EtudLPGLAASRI022,LPGLAASRI,M10-11-12,M10A,1,2.92
EtudLPGLAASRI022,LPGLAASRI,M10-11-12,M10B,1,0.21
EtudLPGLAASRI022,LPGLAASRI,M10-11-12,M10C,1,3.9
EtudLPGLAASRI023,LPGLAASRI,M01,M01A,1,10.44
EtudLPGLAASRI023,LPGLAASRI,M01,M01B,1,6.63
EtudLPGLAASRI023,LPGLAASRI,M02,M02A,1,19.32
EtudLPGLAASRI023,LPGLAASRI,M02,M02B,1,17.25
EtudLPGLAASRI023,LPGLAASRI,M03,M03A,1,18.5
EtudLPGLAASRI023,LPGLAASRI,M03,M03B,1,9.45
EtudLPGLAASRI023,LPGLAASRI,M04,M04A,1,11.25
EtudLPGLAASRI023,LPGLAASRI,M04,M04B,1,16.21
EtudLPGLAASRI023,LPGLAASRI,M05,M05A,1,2.7
EtudLPGLAASRI023,LPGLAASRI,M05,M05B,1,6.8
EtudLPGLAASRI023,LPGLAASRI,M06,M06A,1,11.17
EtudLPGLAASRI023,LPGLAASRI,M06,M06B,1,18.14
EtudLPGLAASRI023,LPGLAASRI,M07,M07A,1,0.45
EtudLPGLAASRI023,LPGLAASRI,M07,M07B,1,2.09
EtudLPGLAASRI023,LPGLAASRI,M08,M08A,1,18.22
EtudLPGLAASRI023,LPGLAASRI,M08,M08B,1,17.03
EtudLPGLAASRI023,LPGLAASRI,M09,M09A,1,18.43
EtudLPGLAASRI023,LPGLAASRI,M09,M09B,1,15.19
EtudLPGLAASRI023,LPGLAASRI,M10-11-12,M10A,1,4.82
EtudLPGLAASRI023,LPGLAASRI,M10-11-12,M10B,1,15.94
EtudLPGLAASRI023,LPGLAASRI,M10-11-12,M10C,1,4.46
EtudLPGLAASRI024,LPGLAASRI,M01,M01A,1,10.47
EtudLPGLAASRI024,LPGLAASRI,M01,M01B,1,14.15
EtudLPGLAASRI024,LPGLAASRI,M02,M02A,1,11.16
EtudLPGLAASRI024,LPGLAASRI,M02,M02B,1,11.7
EtudLPGLAASRI024,LPGLAASRI,M03,M03A,1,14.88
EtudLPGLAASRI024,LPGLAASRI,M03,M03B,1,9.73
EtudLPGLAASRI024,LPGLAASRI,M04,M04A,1,11.98
EtudLPGLAASRI024,LPGLAASRI,M04,M04B,1,13.47
EtudLPGLAASRI024,LPGLAASRI,M05,M05A,1,14.79
EtudLPGLAASRI024,LPGLAASRI,M05,M05B,1,5.73
EtudLPGLAASRI024,LPGLAASRI,M06,M06A,1,3.45
EtudLPGLAASRI024,LPGLAASRI,M06,M06B,1,5.4
EtudLPGLAASRI024,LPGLAASRI,M07,M07A,1,14.78
EtudLPGLAASRI024,LPGLAASRI,M07,M07B,1,18.89
EtudLPGLAASRI024,LPGLAASRI,M08,M08A,1,6.11
EtudLPGLAASRI024,LPGLAASRI,M08,M08B,1,0.39
EtudLPGLAASRI024,LPGLAASRI,M09,M09A,1,4.34
EtudLPGLAASRI024,LPGLAASRI,M09,M09B,1,5.99
EtudLPGLAASRI024,LPGLAASRI,M10-11-12,M10A,1,12.25
EtudLPGLAASRI024,LPGLAASRI,M10-11-12,M10B,1,3.58
EtudLPGLAASRI024,LPGLAASRI,M10-11-12,M10C,1,9.46
EtudLPGLAASRI025,LPGLAASRI,M01,M01A,1,19.15
EtudLPGLAASRI025,LPGLAASRI,M01,M01B,1,18.48
EtudLPGLAASRI025,LPGLAASRI,M02,M02A,1,2.82
EtudLPGLAASRI025,LPGLAASRI,M02,M02B,1,17.78
EtudLPGLAASRI025,LPGLAASRI,M03,M03A,1,17.75
EtudLPGLAASRI025,LPGLAASRI,M03,M03B,1,9.56
EtudLPGLAASRI025,LPGLAASRI,M04,M04A,1,0.76
EtudLPGLAASRI025,LPGLAASRI,M04,M04B,1,9.03
EtudLPGLAASRI025,LPGLAASRI,M05,M05A,1,12.71
EtudLPGLAASRI025,LPGLAASRI,M05,M05B,1,10.78
EtudLPGLAASRI025,LPGLAASRI,M06,M06A,1,5.04
EtudLPGLAASRI025,LPGLAASRI,M06,M06B,1,10.41
EtudLPGLAASRI025,LPGLAASRI,M07,M07A,1,5.9
EtudLPGLAASRI025,LPGLAASRI,M07,M07B,1,1.31
EtudLPGLAASRI025,LPGLAASRI,M08,M08A,1,11.18
EtudLPGLAASRI025,LPGLAASRI,M08,M08B,1,9.72
EtudLPGLAASRI025,LPGLAASRI,M09,M09A,1,17.16
EtudLPGLAASRI025,LPGLAASRI,M09,M09B,1,16.91
EtudLPGLAASRI025,LPGLAASRI,M10-11-12,M10A,1,19.77
EtudLPGLAASRI025,LPGLAASRI,M10-11-12,M10B,1,12.43
EtudLPGLAASRI025,LPGLAASRI,M10-11-12,M10C,1,10.1
EtudGI1002,GI,M01,M01A,1,6.16
EtudLPGLAASRI026,LPGLAASRI,M01,M01A,1,17.75
EtudLPGLAASRI026,LPGLAASRI,M01,M01B,1,6.25
EtudLPGLAASRI026,LPGLAASRI,M02,M02A,1,13.03
EtudLPGLAASRI026,LPGLAASRI,M02,M02B,1,6.14
EtudLPGLAASRI026,LPGLAASRI,M03,M03A,1,0.3
EtudLPGLAASRI026,LPGLAASRI,M03,M03B,1,12.38
EtudLPGLAASRI026,LPGLAASRI,M04,M04A,1,2.05
EtudLPGLAASRI026,LPGLAASRI,M04,M04B,1,9.93
EtudLPGLAASRI026,LPGLAASRI,M05,M05A,1,7.58
EtudLPGLAASRI026,LPGLAASRI,M05,M05B,1,7.56
EtudLPGLAASRI026,LPGLAASRI,M06,M06A,1,8.09
EtudLPGLAASRI026,LPGLAASRI,M06,M06B,1,5.22
EtudLPGLAASRI026,LPGLAASRI,M07,M07A,1,18.43
EtudLPGLAASRI026,LPGLAASRI,M07,M07B,1,2.4
EtudLPGLAASRI026,LPGLAASRI,M08,M08A,1,17.21
EtudLPGLAASRI026,LPGLAASRI,M08,M08B,1,4.13
EtudLPGLAASRI026,LPGLAASRI,M09,M09A,1,17.14
EtudLPGLAASRI026,LPGLAASRI,M09,M09B,1,14.09
EtudLPGLAASRI026,LPGLAASRI,M10-11-12,M10A,1,10.35
EtudLPGLAASRI026,LPGLAASRI,M10-11-12,M10B,1,8.37
EtudLPGLAASRI026,LPGLAASRI,M10-11-12,M10C,1,13.7
EtudLPGLAASRI027,LPGLAASRI,M01,M01A,1,13.54
EtudLPGLAASRI027,LPGLAASRI,M01,M01B,1,10.48
EtudLPGLAASRI027,LPGLAASRI,M02,M02A,1,2.54
EtudLPGLAASRI027,LPGLAASRI,M02,M02B,1,10.54
EtudLPGLAASRI027,LPGLAASRI,M03,M03A,1,7.74
EtudLPGLAASRI027,LPGLAASRI,M03,M03B,1,18.17
EtudLPGLAASRI027,LPGLAASRI,M04,M04A,1,9.19
EtudLPGLAASRI027,LPGLAASRI,M04,M04B,1,4.47
EtudLPGLAASRI027,LPGLAASRI,M05,M05A,1,2.14
EtudLPGLAASRI027,LPGLAASRI,M05,M05B,1,13.5
EtudLPGLAASRI027,LPGLAASRI,M06,M06A,1,15.06
EtudLPGLAASRI027,LPGLAASRI,M06,M06B,1,6.18
EtudLPGLAASRI027,LPGLAASRI,M07,M07A,1,18.91
EtudLPGLAASRI027,LPGLAASRI,M07,M07B,1,7.88
EtudLPGLAASRI027,LPGLAASRI,M08,M08A,1,8.05
EtudLPGLAASRI027,LPGLAASRI,M08,M08B,1,19.63
EtudLPGLAASRI027,LPGLAASRI,M09,M09A,1,16.15
EtudLPGLAASRI027,LPGLAASRI,M09,M09B,1,18.75
EtudLPGLAASRI027,LPGLAASRI,M10-11-12,M10A,1,15.15
EtudLPGLAASRI027,LPGLAASRI,M10-11-12,M10B,1,10.43
EtudLPGLAASRI027,LPGLAASRI,M10-11-12,M10C,1,5.47
EtudLPGLAASRI028,LPGLAASRI,M01,M01A,1,18.16
EtudLPGLAASRI028,LPGLAASRI,M01,M01B,1,1.43
EtudLPGLAASRI028,LPGLAASRI,M02,M02A,1,6.35
EtudLPGLAASRI028,LPGLAASRI,M02,M02B,1,2.21
EtudLPGLAASRI028,LPGLAASRI,M03,M03A,1,9.74
EtudLPGLAASRI028,LPGLAASRI,M03,M03B,1,17.38
EtudLPGLAASRI028,LPGLAASRI,M04,M04A,1,0.11
EtudLPGLAASRI028,LPGLAASRI,M04,M04B,1,2.32
EtudLPGLAASRI028,LPGLAASRI,M05,M05A,1,14.84
EtudLPGLAASRI028,LPGLAASRI,M05,M05B,1,2.91
EtudLPGLAASRI028,LPGLAASRI,M06,M06A,1,1.3
EtudLPGLAASRI028,LPGLAASRI,M06,M06B,1,6.33
EtudLPGLAASRI028,LPGLAASRI,M07,M07A,1,13.55
EtudLPGLAASRI028,LPGLAASRI,M07,M07B,1,18.04
EtudLPGLAASRI028,LPGLAASRI,M08,M08A,1,2.26
EtudLPGLAASRI028,LPGLAASRI,M08,M08B,1,16.69
EtudLPGLAASRI028,LPGLAASRI,M09,M09A,1,18.27
EtudLPGLAASRI028,LPGLAASRI,M09,M09B,1,6.63
EtudLPGLAASRI028,LPGLAASRI,M10-11-12,M10A,1,12.98
EtudLPGLAASRI028,LPGLAASRI,M10-11-12,M10B,1,5.77
EtudLPGLAASRI028,LPGLAASRI,M10-11-12,M10C,1,13.93
EtudLPGLAASRI029,LPGLAASRI,M01,M01A,1,5.95
EtudLPGLAASRI029,LPGLAASRI,M01,M01B,1,1.59
EtudLPGLAASRI029,LPGLAASRI,M02,M02A,1,14.4
EtudLPGLAASRI029,LPGLAASRI,M02,M02B,1,17.32
EtudLPGLAASRI029,LPGLAASRI,M03,M03A,1,3.55
EtudLPGLAASRI029,LPGLAASRI,M03,M03B,1,15.02
EtudLPGLAASRI029,LPGLAASRI,M04,M04A,1,3.74
EtudLPGLAASRI029,LPGLAASRI,M04,M04B,1,7.32
EtudLPGLAASRI029,LPGLAASRI,M05,M05A,1,16.5
EtudLPGLAASRI029,LPGLAASRI,M05,M05B,1,13.96
EtudLPGLAASRI029,LPGLAASRI,M06,M06A,1,6.35
EtudLPGLAASRI029,LPGLAASRI,M06,M06B,1,6.35
EtudLPGLAASRI029,LPGLAASRI,M07,M07A,1,18.43
EtudLPGLAASRI029,LPGLAASRI,M07,M07B,1,18.71
EtudLPGLAASRI029,LPGLAASRI,M08,M08A,1,16.76
EtudLPGLAASRI029,LPGLAASRI,M08,M08B,1,9.79
EtudLPGLAASRI029,LPGLAASRI,M09,M09A,1,16.19
EtudLPGLAASRI029,LPGLAASRI,M09,M09B,1,17.8
EtudLPGLAASRI029,LPGLAASRI,M10-11-12,M10A,1,1.24
EtudLPGLAASRI029,LPGLAASRI,M10-11-12,M10B,1,4.51
EtudLPGLAASRI029,LPGLAASRI,M10-11-12,M10C,1,11.09
EtudLPGLAASRI030,LPGLAASRI,M01,M01A,1,16.57
EtudLPGLAASRI030,LPGLAASRI,M01,M01B,1,5.16
EtudLPGLAASRI030,LPGLAASRI,M02,M02A,1,8.31
EtudLPGLAASRI030,LPGLAASRI,M02,M02B,1,7.22
EtudLPGLAASRI030,LPGLAASRI,M03,M03A,1,14.31
EtudLPGLAASRI030,LPGLAASRI,M03,M03B,1,0.2
EtudLPGLAASRI030,LPGLAASRI,M04,M04A,1,10.23
EtudLPGLAASRI030,LPGLAASRI,M04,M04B,1,19.41
EtudLPGLAASRI030,LPGLAASRI,M05,M05A,1,8.23
EtudLPGLAASRI030,LPGLAASRI,M05,M05B,1,1.25
EtudLPGLAASRI030,LPGLAASRI,M06,M06A,1,16.37
EtudLPGLAASRI030,LPGLAASRI,M06,M06B,1,11.98
EtudLPGLAASRI030,LPGLAASRI,M07,M07A,1,11.99
EtudLPGLAASRI030,LPGLAASRI,M07,M07B,1,12.64
EtudLPGLAASRI030,LPGLAASRI,M08,M08A,1,8.19
EtudLPGLAASRI030,LPGLAASRI,M08,M08B,1,13.62
EtudLPGLAASRI030,LPGLAASRI,M09,M09A,1,15.06
EtudLPGLAASRI030,LPGLAASRI,M09,M09B,1,16.88
EtudLPGLAASRI030,LPGLAASRI,M10-11-12,M10A,1,1.09
EtudLPGLAASRI030,LPGLAASRI,M10-11-12,M10B,1,16.04
EtudLPGLAASRI030,LPGLAASRI,M10-11-12,M10C,1,1.53
EtudGI1003,GI,M01,M01C,1,0.04
EtudLPGLAASRI031,LPGLAASRI,M01,M01A,1,8.14
EtudLPGLAASRI031,LPGLAASRI,M01,M01B,1,0.8
EtudLPGLAASRI031,LPGLAASRI,M02,M02A,1,1.32
EtudLPGLAASRI031,LPGLAASRI,M02,M02B,1,0.41
EtudLPGLAASRI031,LPGLAASRI,M03,M03A,1,2.25
EtudLPGLAASRI031,LPGLAASRI,M03,M03B,1,16.37
EtudLPGLAASRI031,LPGLAASRI,M04,M04A,1,14.69
EtudLPGLAASRI031,LPGLAASRI,M04,M04B,1,2.89
EtudLPGLAASRI031,LPGLAASRI,M05,M05A,1,9.11
EtudLPGLAASRI031,LPGLAASRI,M05,M05B,1,1.61
EtudLPGLAASRI031,LPGLAASRI,M06,M06A,1,11.01
EtudLPGLAASRI031,LPGLAASRI,M06,M06B,1,18.63
EtudLPGLAASRI031,LPGLAASRI,M07,M07A,1,1.37
EtudLPGLAASRI031,LPGLAASRI,M07,M07B,1,5.22
EtudLPGLAASRI031,LPGLAASRI,M08,M08A,1,2.94
EtudLPGLAASRI031,LPGLAASRI,M08,M08B,1,8.01
EtudLPGLAASRI031,LPGLAASRI,M09,M09A,1,10.95
EtudLPGLAASRI031,LPGLAASRI,M09,M09B,1,4.57
EtudLPGLAASRI031,LPGLAASRI,M10-11-12,M10A,1,8.25
EtudLPGLAASRI031,LPGLAASRI,M10-11-12,M10B,1,18.21
EtudLPGLAASRI031,LPGLAASRI,M10-11-12,M10C,1,5.85
EtudLPGLAASRI032,LPGLAASRI,M01,M01A,1,3.22
EtudLPGLAASRI032,LPGLAASRI,M01,M01B,1,11.91
EtudLPGLAASRI032,LPGLAASRI,M02,M02A,1,10.01
EtudLPGLAASRI032,LPGLAASRI,M02,M02B,1,12.35
EtudLPGLAASRI032,LPGLAASRI,M03,M03A,1,9.17
EtudLPGLAASRI032,LPGLAASRI,M03,M03B,1,3.03
EtudLPGLAASRI032,LPGLAASRI,M04,M04A,1,1.42
EtudLPGLAASRI032,LPGLAASRI,M04,M04B,1,8.61
EtudLPGLAASRI032,LPGLAASRI,M05,M05A,1,4.49
EtudLPGLAASRI032,LPGLAASRI,M05,M05B,1,5.38
EtudLPGLAASRI032,LPGLAASRI,M06,M06A,1,2.06
EtudLPGLAASRI032,LPGLAASRI,M06,M06B,1,6.79
EtudLPGLAASRI032,LPGLAASRI,M07,M07A,1,19.58
EtudLPGLAASRI032,LPGLAASRI,M07,M07B,1,9.58
EtudLPGLAASRI032,LPGLAASRI,M08,M08A,1,16.42
EtudLPGLAASRI032,LPGLAASRI,M08,M08B,1,1.55
EtudLPGLAASRI032,LPGLAASRI,M09,M09A,1,1.97
EtudLPGLAASRI032,LPGLAASRI,M09,M09B,1,9.47
EtudLPGLAASRI032,LPGLAASRI,M10-11-12,M10A,1,8.26
EtudLPGLAASRI032,LPGLAASRI,M10-11-12,M10B,1,8.29
EtudLPGLAASRI032,LPGLAASRI,M10-11-12,M10C,1,3.23
EtudLPGLAASRI033,LPGLAASRI,M01,M01A,1,0.41
EtudLPGLAASRI033,LPGLAASRI,M01,M01B,1,6.34
EtudLPGLAASRI033,LPGLAASRI,M02,M02A,1,7.4
EtudLPGLAASRI033,LPGLAASRI,M02,M02B,1,4.42
EtudLPGLAASRI033,LPGLAASRI,M03,M03A,1,16.03
EtudLPGLAASRI033,LPGLAASRI,M03,M03B,1,12.3
EtudLPGLAASRI033,LPGLAASRI,M04,M04A,1,19.32
EtudLPGLAASRI033,LPGLAASRI,M04,M04B,1,13.44
EtudLPGLAASRI033,LPGLAASRI,M05,M05A,1,15.39
EtudLPGLAASRI033,LPGLAASRI,M05,M05B,1,4.26
EtudLPGLAASRI033,LPGLAASRI,M06,M06A,1,4.7
EtudLPGLAASRI033,LPGLAASRI,M06,M06B,1,4.04
EtudLPGLAASRI033,LPGLAASRI,M07,M07A,1,15.07
EtudLPGLAASRI033,LPGLAASRI,M07,M07B,1,19.79
EtudLPGLAASRI033,LPGLAASRI,M08,M08A,1,16.89
EtudLPGLAASRI033,LPGLAASRI,M08,M08B,1,9.41
EtudLPGLAASRI033,LPGLAASRI,M09,M09A,1,3.68
EtudLPGLAASRI033,LPGLAASRI,M09,M09B,1,3.07
EtudLPGLAASRI033,LPGLAASRI,M10-11-12,M10A,1,17.18
EtudLPGLAASRI033,LPGLAASRI,M10-11-12,M10B,1,0.64
EtudLPGLAASRI033,LPGLAASRI,M10-11-12,M10C,1,15.82
EtudLPGLAASRI034,LPGLAASRI,M01,M01A,1,5.39
EtudLPGLAASRI034,LPGLAASRI,M01,M01B,1,13.97
EtudLPGLAASRI034,LPGLAASRI,M02,M02A,1,7.38
EtudLPGLAASRI034,LPGLAASRI,M02,M02B,1,11.17
EtudLPGLAASRI034,LPGLAASRI,M03,M03A,1,4.85
EtudLPGLAASRI034,LPGLAASRI,M03,M03B,1,13.98
EtudLPGLAASRI034,LPGLAASRI,M04,M04A,1,1.03
EtudLPGLAASRI034,LPGLAASRI,M04,M04B,1,7.19
EtudLPGLAASRI034,LPGLAASRI,M05,M05A,1,16.55
EtudLPGLAASRI034,LPGLAASRI,M05,M05B,1,7.81
EtudLPGLAASRI034,LPGLAASRI,M06,M06A,1,6.57
EtudLPGLAASRI034,LPGLAASRI,M06,M06B,1,19.57
EtudLPGLAASRI034,LPGLAASRI,M07,M07A,1,5.65
EtudLPGLAASRI034,LPGLAASRI,M07,M07B,1,5.57
EtudLPGLAASRI034,LPGLAASRI,M08,M08A,1,5.53
EtudLPGLAASRI034,LPGLAASRI,M08,M08B,1,8.3
EtudLPGLAASRI034,LPGLAASRI,M09,M09A,1,12.87
EtudLPGLAASRI034,LPGLAASRI,M09,M09B,1,14.04
EtudLPGLAASRI034,LPGLAASRI,M10-11-12,M10A,1,15.14
EtudLPGLAASRI034,LPGLAASRI,M10-11-12,M10B,1,14.52
EtudLPGLAASRI034,LPGLAASRI,M10-11-12,M10C,1,18.4
EtudLPGLAASRI035,LPGLAASRI,M01,M01A,1,1.67
EtudLPGLAASRI035,LPGLAASRI,M01,M01B,1,7.46
EtudLPGLAASRI035,LPGLAASRI,M02,M02A,1,7.81
EtudLPGLAASRI035,LPGLAASRI,M02,M02B,1,11.54
EtudLPGLAASRI035,LPGLAASRI,M03,M03A,1,6.11
EtudLPGLAASRI035,LPGLAASRI,M03,M03B,1,12.99
EtudLPGLAASRI035,LPGLAASRI,M04,M04A,1,9.62
EtudLPGLAASRI035,LPGLAASRI,M04,M04B,1,19.31
EtudLPGLAASRI035,LPGLAASRI,M05,M05A,1,2.19
EtudLPGLAASRI035,LPGLAASRI,M05,M05B,1,5.95
EtudLPGLAASRI035,LPGLAASRI,M06,M06A,1,6.54
EtudLPGLAASRI035,LPGLAASRI,M06,M06B,1,7.76
EtudLPGLAASRI035,LPGLAASRI,M07,M07A,1,13.26
EtudLPGLAASRI035,LPGLAASRI,M07,M07B,1,10.42
EtudLPGLAASRI035,LPGLAASRI,M08,M08A,1,0.74
EtudLPGLAASRI035,LPGLAASRI,M08,M08B,1,1.18
EtudLPGLAASRI035,LPGLAASRI,M09,M09A,1,19.82
EtudLPGLAASRI035,LPGLAASRI,M09,M09B,1,7.78
EtudLPGLAASRI035,LPGLAASRI,M10-11-12,M10A,1,2.35
EtudLPGLAASRI035,LPGLAASRI,M10-11-12,M10B,1,2.16
EtudLPGLAASRI035,LPGLAASRI,M10-11-12,M10C,1,17.06
EtudGI1003,GI,M01,M01B,1,17.49
EtudLPGLAASRI036,LPGLAASRI,M01,M01A,1,14.93
EtudLPGLAASRI036,LPGLAASRI,M01,M01B,1,10.94
EtudLPGLAASRI036,LPGLAASRI,M02,M02A,1,10.79
EtudLPGLAASRI036,LPGLAASRI,M02,M02B,1,4.05
EtudLPGLAASRI036,LPGLAASRI,M03,M03A,1,9.45
EtudLPGLAASRI036,LPGLAASRI,M03,M03B,1,8.26
EtudLPGLAASRI036,LPGLAASRI,M04,M04A,1,16.53
EtudLPGLAASRI036,LPGLAASRI,M04,M04B,1,6.43
EtudLPGLAASRI036,LPGLAASRI,M05,M05A,1,1.89
EtudLPGLAASRI036,LPGLAASRI,M05,M05B,1,9.84
EtudLPGLAASRI036,LPGLAASRI,M06,M06A,1,17.1
EtudLPGLAASRI036,LPGLAASRI,M06,M06B,1,10
EtudLPGLAASRI036,LPGLAASRI,M07,M07A,1,7.48
EtudLPGLAASRI036,LPGLAASRI,M07,M07B,1,15.37
EtudLPGLAASRI036,LPGLAASRI,M08,M08A,1,13.63
EtudLPGLAASRI036,LPGLAASRI,M08,M08B,1,4.29
EtudLPGLAASRI036,LPGLAASRI,M09,M09A,1,18.98
EtudLPGLAASRI036,LPGLAASRI,M09,M09B,1,13.71
EtudLPGLAASRI036,LPGLAASRI,M10-11-12,M10A,1,1.7
EtudLPGLAASRI036,LPGLAASRI,M10-11-12,M10B,1,12.97
EtudLPGLAASRI036,LPGLAASRI,M10-11-12,M10C,1,1.6
EtudLPGLAASRI037,LPGLAASRI,M01,M01A,1,0.55
EtudLPGLAASRI037,LPGLAASRI,M01,M01B,1,17.42
EtudLPGLAASRI037,LPGLAASRI,M02,M02A,1,4.86
EtudLPGLAASRI037,LPGLAASRI,M02,M02B,1,19.46
EtudLPGLAASRI037,LPGLAASRI,M03,M03A,1,12.05
EtudLPGLAASRI037,LPGLAASRI,M03,M03B,1,3.98
EtudLPGLAASRI037,LPGLAASRI,M04,M04A,1,9.63
EtudLPGLAASRI037,LPGLAASRI,M04,M04B,1,13.55
EtudLPGLAASRI037,LPGLAASRI,M05,M05A,1,15.67
EtudLPGLAASRI037,LPGLAASRI,M05,M05B,1,15.93
EtudLPGLAASRI037,LPGLAASRI,M06,M06A,1,0.39
EtudLPGLAASRI037,LPGLAASRI,M06,M06B,1,14.45
EtudLPGLAASRI037,LPGLAASRI,M07,M07A,1,5.32
EtudLPGLAASRI037,LPGLAASRI,M07,M07B,1,9.39
EtudLPGLAASRI037,LPGLAASRI,M08,M08A,1,10.25
EtudLPGLAASRI037,LPGLAASRI,M08,M08B,1,2.1
EtudLPGLAASRI037,LPGLAASRI,M09,M09A,1,19.86
EtudLPGLAASRI037,LPGLAASRI,M09,M09B,1,0.48
EtudLPGLAASRI037,LPGLAASRI,M10-11-12,M10A,1,8.1
EtudLPGLAASRI037,LPGLAASRI,M10-11-12,M10B,1,0.71
EtudLPGLAASRI037,LPGLAASRI,M10-11-12,M10C,1,14.24
EtudLPGLAASRI038,LPGLAASRI,M01,M01A,1,1.35
EtudLPGLAASRI038,LPGLAASRI,M01,M01B,1,12.77
